face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
10,10,20,5,6,11,-1,gone
9,4,22,3,7,10,1,bread
4,7,22,8,2,10,1,bread
5,11,18,6,6,12,-1,gone
6,7,24,5,10,15,1,bread
10,7,17,7,10,17,0,fight
6,2,21,10,10,20,0,fight
8,10,18,5,3,18,0,fight
2,4,23,4,3,17,1,bread
6,6,24,10,10,20,1,bread
10,8,18,10,10,20,1,bread
4,4,20,2,2,14,-1,gone
2,10,21,3,3,15,-1,gone
11,11,32,10,11,21,1,bread
10,10,20,10,10,20,0,fight
3,9,22,11,11,22,0,fight
11,10,26,9,7,16,1,bread
7,4,18,11,10,21,1,bread
2,3,22,4,10,14,1,bread
10,10,20,10,8,18,-1,gone
6,4,16,11,4,15,-1,gone
11,8,19,9,4,13,-1,gone
5,10,26,10,10,20,1,bread
7,10,17,10,11,21,1,bread
3,7,21,9,10,19,1,bread
2,10,22,11,10,21,1,bread
5,4,20,11,10,21,1,bread
2,10,20,9,10,19,-1,gone
6,8,25,7,3,10,1,bread
7,10,17,3,4,9,-1,gone
11,10,28,2,8,10,1,bread
3,4,17,4,3,11,-1,gone
10,3,23,10,5,15,1,bread
10,5,25,3,4,13,1,bread
8,3,18,6,3,12,-1,gone
4,10,24,10,2,12,1,bread
4,5,22,6,3,14,1,bread
10,10,20,11,2,13,-1,gone
2,6,23,10,5,15,1,bread
3,10,18,10,8,18,0,fight
10,9,19,7,10,17,-1,gone
10,11,32,9,11,20,1,bread
10,2,20,8,2,10,-1,gone
10,8,18,3,10,13,-1,gone
7,8,25,10,8,18,1,bread
3,4,17,8,3,11,-1,gone
11,5,19,10,10,20,1,bread
5,9,24,4,2,14,1,bread
10,9,19,2,8,10,-1,gone
2,9,22,5,10,15,1,bread
10,8,18,10,4,14,-1,gone
8,10,18,8,10,18,0,fight
8,8,23,4,2,16,1,bread
10,6,18,10,7,17,-1,gone
11,2,17,5,10,15,-1,gone
10,11,28,10,2,12,1,bread
10,11,26,10,10,20,1,bread
5,6,21,6,10,16,1,bread
11,10,28,10,6,16,1,bread
2,8,23,10,11,21,1,bread
10,6,25,11,8,19,1,bread
9,6,22,10,4,14,1,bread
10,7,17,10,11,21,1,bread
8,6,24,3,7,10,1,bread
2,7,19,4,9,13,-1,gone
5,4,18,10,10,20,1,bread
6,5,18,10,10,20,1,bread
9,3,26,4,11,15,1,bread
8,2,21,11,10,21,0,fight
10,10,20,2,10,12,-1,gone
7,10,17,3,10,13,-1,gone
7,10,17,7,4,11,-1,gone
8,10,18,3,10,13,-1,gone
3,7,21,7,3,10,-1,gone
10,6,26,9,9,18,1,bread
3,7,20,4,10,14,-1,gone
9,6,25,10,3,13,1,bread
6,2,25,9,10,19,1,bread
8,9,17,10,4,14,-1,gone
6,3,17,6,8,14,-1,gone
4,10,19,4,6,10,-1,gone
7,10,17,6,10,16,-1,gone
10,3,19,10,6,16,-1,gone
9,10,19,4,7,11,-1,gone
11,10,25,11,3,14,1,bread
10,3,24,2,3,8,1,bread
10,2,20,10,7,17,-1,gone
11,10,26,2,10,12,1,bread
11,4,17,10,3,13,-1,gone
10,9,19,9,6,15,-1,gone
10,7,17,6,4,10,-1,gone
10,10,20,3,5,16,-1,gone
11,9,20,9,3,12,-1,gone
8,5,21,7,6,13,-1,gone
5,10,22,3,5,18,1,bread
10,11,25,4,9,13,1,bread
9,10,19,10,4,14,-1,gone
7,10,17,2,8,10,-1,gone
10,10,20,10,5,15,-1,gone
10,2,25,8,10,18,1,bread
4,10,23,10,11,21,1,bread
10,10,20,7,10,17,-1,gone
10,10,20,8,8,16,-1,gone
10,8,18,11,10,21,1,bread
7,7,22,4,10,14,1,bread
3,10,23,9,10,19,1,bread
6,5,21,2,10,12,1,bread
5,2,19,8,4,12,-1,gone
8,3,21,11,9,20,-1,gone
9,7,25,9,7,16,1,bread
6,10,22,10,8,18,1,bread
9,5,22,3,7,10,1,bread
6,2,19,6,10,16,-1,gone
11,5,26,4,3,15,1,bread
11,2,17,9,8,17,0,fight
3,10,23,10,6,16,1,bread
8,2,20,3,10,13,-1,gone
10,4,24,10,2,12,1,bread
5,10,24,3,9,12,1,bread
2,6,14,10,9,19,1,bread
11,5,23,8,7,15,1,bread
10,4,24,9,10,19,1,bread
2,10,18,6,9,15,-1,gone
7,7,24,5,10,15,1,bread
3,3,26,11,10,21,1,bread
9,10,19,7,10,17,-1,gone
11,10,31,10,9,19,1,bread
3,6,16,11,6,17,1,bread
2,4,25,9,4,13,1,bread
6,8,21,10,3,13,1,bread
2,9,17,10,10,20,1,bread
11,6,17,6,5,11,-1,gone
3,10,20,2,10,12,-1,gone
10,5,18,3,5,13,-1,gone
7,9,26,5,7,12,1,bread
8,3,21,5,10,15,1,bread
5,11,22,3,5,12,1,bread
