face_card,blind_card,total,удфча_нуль,удфча_один,добыча,еда
10,10,20,2,4,13,-1
8,5,23,10,8,18,1
10,10,20,6,10,16,-1
8,9,17,4,7,11,-1
4,9,23,10,11,21,1
3,4,19,2,10,12,-1
3,10,22,10,10,20,1
4,6,22,3,10,13,1
10,10,20,2,7,18,-1
8,10,18,4,9,13,-1
10,8,18,10,7,17,-1
10,5,21,4,2,16,-1
2,3,21,3,10,13,-1
8,3,20,8,10,18,-1
10,10,20,9,6,15,-1
11,9,20,3,11,14,-1
4,8,22,11,10,21,1
4,4,19,10,5,15,-1
3,10,17,11,10,21,1
4,9,20,8,8,16,-1
10,10,20,2,3,14,-1
10,10,20,3,7,10,-1
4,10,25,10,9,19,1
6,9,21,3,2,11,1
10,9,19,4,8,12,-1
2,4,19,10,2,12,-1
10,10,20,10,2,12,-1
3,4,18,10,5,15,-1
10,9,19,10,10,20,1
6,4,20,11,10,21,1
2,9,22,10,10,20,1
4,8,18,6,9,15,-1
4,11,20,5,2,18,-1
6,2,17,11,10,21,1
10,10,20,11,10,21,1
2,10,18,10,4,14,-1
9,3,18,5,2,13,-1
10,10,20,7,11,18,-1
8,11,19,3,10,13,-1
5,6,19,5,6,11,-1
2,11,23,11,3,14,1
8,2,19,10,10,20,1
10,2,22,5,10,15,1
8,3,19,10,8,18,-1
8,3,21,3,10,13,-1
6,9,26,11,7,18,1
7,9,26,10,10,20,1
7,7,24,3,11,14,1
10,8,18,3,10,13,-1
10,11,31,10,5,15,1
10,10,20,3,10,13,-1
3,8,20,9,10,19,-1
10,10,20,2,10,12,-1
4,6,20,2,10,12,-1
7,11,18,8,10,18,0
10,7,17,10,9,19,1
10,10,20,4,10,14,-1
5,4,19,3,9,12,-1
10,6,26,2,8,10,1
10,11,31,4,10,14,1
4,2,17,2,2,13,-1
10,7,17,3,7,10,-1
10,3,23,4,3,18,1
11,6,17,2,4,15,-1
10,2,20,5,10,15,-1
7,8,25,10,10,20,1
11,7,18,11,4,15,-1
3,7,24,6,4,10,1
4,8,23,5,7,12,1
10,10,20,7,11,18,-1
7,8,25,9,10,19,1
7,10,17,4,9,13,-1
10,10,20,10,9,19,-1
8,9,17,6,7,13,-1
10,5,23,2,5,9,1
10,10,20,10,10,20,0
10,2,23,10,7,17,1
10,5,17,4,11,15,-1
7,7,24,11,10,21,1
10,10,20,5,5,10,-1
9,3,16,6,6,12,-1
7,3,20,2,5,11,-1
6,10,24,11,8,19,1
10,3,21,10,3,13,1
7,10,17,9,8,17,0
5,10,19,2,5,18,-1
10,4,24,10,7,17,1
10,11,26,3,4,17,1
7,3,21,10,10,20,1
6,4,22,10,3,13,1
7,10,17,3,10,13,-1
10,7,17,4,10,14,-1
3,10,20,11,11,22,1
7,2,19,5,10,15,-1
11,7,18,10,3,13,-1
10,5,21,2,2,14,-1
10,11,26,7,4,11,1
8,6,24,4,4,14,1
8,10,18,11,11,22,1
10,10,20,11,10,21,1
4,11,25,9,6,15,1
4,8,22,11,2,13,1
11,6,17,5,6,11,-1
10,2,18,7,10,17,-1
6,5,19,9,10,19,0
9,8,17,11,11,22,1
4,5,20,4,2,10,-1
10,10,20,10,5,15,-1
3,10,26,10,4,14,1
10,7,17,10,10,20,1
2,8,21,3,10,13,1
8,4,19,4,4,18,-1
4,5,19,10,10,20,1
11,10,31,10,8,18,1
3,10,17,8,4,12,-1
9,10,19,6,10,16,-1
10,2,22,10,11,21,1
10,6,20,8,10,18,-1
11,6,17,10,10,20,1
10,10,20,8,6,14,-1
7,10,17,10,4,14,-1
8,11,19,2,3,15,-1
10,5,20,9,9,18,-1
8,2,26,10,8,18,1
10,10,20,10,9,19,-1
3,6,19,6,6,12,-1
10,7,17,4,8,12,-1
2,8,25,9,10,19,1
10,5,19,7,10,17,-1
7,10,17,4,6,10,-1
4,8,22,10,7,17,1
3,11,24,2,9,11,1
9,5,25,8,10,18,1
6,11,17,10,3,13,-1
10,10,20,6,2,19,-1
4,3,20,10,3,13,-1
3,7,24,10,5,15,1
10,10,20,10,10,20,0
5,4,25,7,2,18,1
5,3,18,11,6,17,-1
10,2,26,9,10,19,1
8,8,23,11,10,21,1
8,11,19,4,11,15,-1
9,10,19,9,10,19,0
10,10,20,5,8,13,-1
6,11,17,7,8,15,-1
10,11,29,10,11,21,1
3,11,23,2,2,11,1
4,6,22,3,10,13,1
9,3,22,10,6,16,1
6,10,24,10,8,18,1
6,7,21,10,5,15,1
10,6,22,10,5,15,1
10,7,17,10,2,12,-1
10,7,17,5,9,14,-1
11,2,24,5,2,18,1
7,11,18,6,10,16,-1
11,2,17,8,6,14,-1
6,9,24,9,4,13,1
10,7,17,4,6,10,-1
10,5,25,10,5,15,1
3,10,23,10,10,20,1
10,10,20,4,3,12,-1
8,9,17,2,10,12,-1
10,10,20,10,10,20,0
6,9,24,9,2,11,1
3,3,25,8,10,18,1
4,5,19,8,10,18,-1
7,10,17,3,3,8,-1
4,10,25,2,3,10,1
7,2,20,7,10,17,-1
4,10,25,6,10,16,1
10,10,20,10,4,14,-1
10,5,17,7,10,17,0
2,2,16,10,10,20,1
10,3,23,9,7,16,1
6,2,18,3,10,13,-1
5,8,17,2,10,12,-1
9,8,17,4,11,15,-1
9,2,21,10,4,14,-1
10,7,17,10,6,16,-1
9,2,18,7,3,10,-1
9,4,22,5,8,13,1
5,6,22,7,6,13,1
8,11,19,10,11,21,1
2,3,16,10,3,13,1
5,10,21,5,11,16,1
10,2,18,10,5,15,-1
8,7,23,10,9,19,1
9,9,18,9,10,19,1
9,11,20,4,11,15,-1
10,10,20,10,3,13,-1
11,7,18,5,10,15,-1
10,10,20,10,5,15,-1
5,9,24,10,6,16,1
8,8,18,10,11,21,1
11,7,18,7,10,17,-1
11,11,32,3,10,13,1
10,8,18,6,4,10,-1
10,3,26,4,10,14,1
10,10,20,4,5,11,-1
8,7,20,10,4,14,-1
10,10,20,7,11,18,-1
10,10,20,5,4,15,-1
8,10,18,11,10,21,1
6,10,20,7,8,15,-1
10,4,24,5,3,19,1
5,9,24,10,6,16,1
7,5,21,8,10,18,1
9,3,17,11,8,19,1
10,8,18,10,11,21,1
4,7,20,6,5,11,-1
11,6,17,8,2,10,-1
11,3,17,10,11,21,1
8,11,19,3,2,10,-1
10,10,20,6,10,16,-1
10,3,21,10,8,18,-1
11,2,19,8,8,16,-1
2,6,22,5,8,13,1
7,10,17,8,10,18,1
3,11,25,6,8,14,1
10,10,20,6,2,15,-1
8,7,25,4,2,13,1
8,10,18,2,9,11,-1
4,10,19,4,6,10,-1
10,10,20,3,10,13,-1
10,10,20,6,7,13,-1
11,5,24,7,10,17,1
10,3,18,10,9,19,1
6,3,18,6,7,13,-1
3,8,21,9,7,16,-1
9,10,19,5,5,10,-1
7,3,17,10,10,20,1
10,10,20,10,10,20,0
9,10,19,9,8,17,-1
10,6,21,11,6,17,-1
4,10,18,6,11,17,-1
2,2,14,3,7,10,-1
11,8,19,2,10,12,-1
10,10,20,9,5,14,-1
6,7,22,10,10,20,1
9,11,20,6,11,17,-1
4,2,17,10,2,12,-1
5,3,18,4,10,14,-1
10,7,17,5,11,16,-1
6,6,19,10,8,18,-1
10,10,20,10,10,20,0
7,8,20,6,6,12,-1
10,11,26,3,10,13,1
11,10,31,4,5,11,1
10,7,17,3,10,13,-1
5,10,26,3,3,11,1
5,2,23,8,2,10,1
11,10,23,6,7,13,1
7,2,20,2,7,14,-1
2,11,20,11,9,20,0
10,8,18,5,7,12,-1
10,10,20,5,5,10,-1
4,8,23,10,2,12,1
11,10,26,4,7,11,1
8,9,17,11,7,18,1
11,8,19,8,7,15,-1
11,7,18,10,3,13,-1
7,10,17,9,7,16,-1
3,10,18,3,10,13,-1
10,5,19,9,10,19,0
10,2,17,5,5,10,-1
8,10,18,10,10,20,1
2,6,18,7,5,12,-1
10,6,21,10,2,12,-1
10,10,20,10,10,20,0
10,2,18,10,10,20,1
3,5,17,10,4,14,-1
6,10,26,10,10,20,1
11,10,25,11,8,19,1
8,5,23,10,3,13,1
10,5,24,10,6,16,1
10,4,24,10,6,16,1
4,3,17,10,4,14,-1
11,7,18,7,7,14,-1
5,11,26,5,10,15,1
2,10,17,2,5,17,0
7,4,20,6,8,14,-1
7,11,18,10,10,20,1
8,8,19,6,10,16,-1
10,10,20,10,6,16,-1
4,6,20,10,10,20,0
9,9,18,10,10,20,1
10,8,18,2,2,7,-1
10,11,30,4,4,15,1
4,10,25,10,6,16,1
8,10,18,11,5,16,-1
11,3,25,4,10,14,1
6,7,21,10,10,20,1
6,5,24,8,9,17,1
2,5,17,2,6,13,-1
10,11,24,5,5,10,1
8,9,17,10,7,17,0
5,5,18,6,10,16,-1
10,10,20,7,3,10,-1
10,4,18,6,3,17,-1
8,7,18,10,7,17,-1
5,2,18,4,10,14,-1
10,5,19,3,5,14,-1
2,11,23,10,10,20,1
9,6,25,3,5,18,1
7,10,17,10,5,15,-1
4,6,19,4,3,17,-1
9,11,20,10,11,21,1
10,2,21,2,4,13,1
9,10,19,8,10,18,-1
11,2,17,8,9,17,0
11,8,19,8,10,18,-1
7,8,19,9,8,17,-1
11,10,31,9,6,15,1
5,8,24,7,6,13,1
10,11,31,7,4,11,1
6,6,17,2,4,16,-1
6,10,26,10,3,13,1
2,7,13,10,10,20,1
2,3,16,2,6,18,1
6,4,20,10,6,16,-1
3,4,19,10,6,16,-1
2,7,17,9,10,19,1
8,8,26,11,10,21,1
5,3,19,5,8,13,-1
5,7,23,10,9,19,1
9,4,23,6,2,18,1
3,10,23,8,6,14,1
10,9,19,10,10,20,1
6,6,22,8,10,18,1
6,10,23,11,9,20,1
5,4,25,10,3,13,1
7,10,17,9,3,12,-1
6,10,19,11,4,15,-1
10,11,31,10,8,18,1
4,10,18,2,3,15,-1
10,11,28,6,6,12,1
8,4,17,10,10,20,1
9,9,18,6,10,16,-1
6,10,26,9,10,19,1
5,9,17,11,11,22,1
8,10,18,3,10,13,-1
4,6,17,9,9,18,1
10,4,18,2,9,11,-1
6,8,24,10,5,15,1
10,10,20,10,10,20,0
6,5,21,5,10,15,0
4,10,24,8,3,11,1
3,4,21,2,2,9,1
11,11,29,10,10,20,1
2,10,18,2,4,17,-1
10,10,20,11,10,21,1
3,10,21,4,8,12,1
9,4,22,6,10,16,1
5,4,19,11,10,21,1
10,10,20,11,10,21,1
10,7,17,10,10,20,1
9,8,17,10,10,20,1
3,11,24,10,10,20,1
9,10,19,10,10,20,1
3,7,21,4,3,16,1
6,10,26,10,11,21,1
4,10,20,6,10,16,-1
10,2,24,7,2,11,1
7,5,23,10,3,13,1
4,7,18,3,10,13,-1
8,10,18,10,10,20,1
2,5,15,6,4,10,1
6,8,17,10,10,20,1
8,10,18,3,3,17,-1
3,6,19,5,2,17,-1
2,10,18,6,3,19,1
8,7,20,10,5,15,-1
10,2,21,2,10,12,-1
10,11,29,3,8,11,1
5,5,17,5,9,14,-1
10,3,23,2,7,18,1
3,5,20,6,6,12,-1
10,11,24,9,10,19,1
11,3,19,8,10,18,-1
6,3,21,10,10,20,-1
5,10,24,10,3,13,1
9,11,20,10,10,20,0
10,10,20,2,8,10,-1
8,4,27,2,9,11,1
7,4,17,10,8,18,1
2,11,19,10,2,12,-1
7,10,17,10,10,20,1
3,10,20,6,10,16,-1
10,3,18,10,9,19,1
3,7,21,11,3,14,1
5,4,19,3,8,11,-1
7,3,16,8,4,12,-1
9,2,17,9,5,14,-1
10,10,20,10,10,20,0
5,10,25,10,3,13,1
7,6,23,10,11,21,1
5,9,23,2,8,10,1
10,10,20,5,10,15,-1
10,6,26,6,10,16,1
10,4,24,10,9,19,1
8,2,24,2,7,18,1
10,9,19,7,10,17,-1
2,10,20,4,3,10,-1
2,8,18,6,10,16,-1
2,5,15,10,6,16,1
2,10,17,10,3,13,-1
10,4,24,10,10,20,1
11,11,32,11,10,21,1
3,8,19,9,9,18,-1
2,10,22,7,4,11,1
10,10,20,6,8,14,-1
6,5,21,2,11,13,-1
11,10,25,10,10,20,1
11,10,29,5,10,15,1
11,10,31,10,5,15,1
8,10,18,2,8,10,-1
10,2,22,10,6,16,1
10,10,20,10,10,20,0
